MAC,SSID,AuthMode,FirstSeen,Channel,RSSI,CurrentLatitude,CurrentLongitude,AltitudeMeters,AccuracyMeters,Type
B4:C2:6A:98:63:DC,E715dYT5ST78odaE,[WPA2_PSK],2026-03-31 10:06:40,1,-90,53.4921532,7.4391389,14.60,2.50,WIFI
11:08:1d:67:9f:cf,,[BLE],2026-03-31 10:06:57,0,-88,53.4921532,7.4391360,14.30,2.50,BLE
6e:4c:91:27:ff:e2,,[BLE],2026-03-31 10:07:17,0,-83,53.4922256,7.4391909,12.60,2.50,BLE
4C:1B:86:4F:22:24,WLAN-691792,[WPA2_PSK],2026-03-31 10:07:28,6,-82,53.4923325,7.4393258,13.50,2.50,WIFI
EC:FD:F8:9A:4B:E8,AP_3928674633,[WPA2_PSK],2026-03-31 10:07:32,1,-77,53.4925041,7.4397068,13.50,2.50,WIFI
E0:28:6D:2E:10:45,manuel,[WPA2_PSK],2026-03-31 10:07:32,1,-87,53.4925041,7.4397068,13.50,2.50,WIFI
AC:B6:87:EF:BA:09,MagentaWLAN-33NW,[WPA2_WPA3_PSK],2026-03-31 10:07:37,1,-92,53.4926987,7.4402218,10.90,2.50,WIFI
2E:D1:C6:65:56:CD,My SEAT 4172,[WPA2_PSK],2026-03-31 10:07:41,6,-70,53.4925537,7.4405632,9.50,2.50,WIFI
C8:0E:14:5F:67:0A,FRITZ!Box 7590 PD,[WPA2_PSK],2026-03-31 10:07:41,11,-82,53.4925537,7.4405632,9.50,2.50,WIFI
EC:71:DB:DB:6C:94,REOLINK-WN68BuAy1N-2.4G,[WPA2_WPA3_PSK],2026-03-31 10:07:41,6,-85,53.4925537,7.4405632,9.50,2.50,WIFI
EC:FD:F8:84:A2:D0,AP_4183968718,[WPA2_PSK],2026-03-31 10:07:45,1,-75,53.4921570,7.4408979,9.60,2.50,WIFI
36:BE:D5:8E:0C:31,,[WPA2_PSK],2026-03-31 10:07:45,11,-83,53.4921570,7.4408979,9.60,2.50,WIFI
36:BE:D5:2E:0C:31,MoinMoin,[WPA2_PSK],2026-03-31 10:07:45,11,-84,53.4921570,7.4408979,9.60,2.50,WIFI
60:B5:8D:82:E5:D5,FRITZ!Box 6850 TE,[WPA2_PSK],2026-03-31 10:07:49,9,-81,53.4916458,7.4412918,8.30,2.50,WIFI
62:B5:8D:82:E5:D5,FRITZ!Box Gast,[WPA2_PSK],2026-03-31 10:07:49,9,-83,53.4916458,7.4412918,8.30,2.50,WIFI
2C:91:AB:6E:03:EB,manuel,[WPA_WPA2_PSK],2026-03-31 10:07:49,1,-84,53.4916458,7.4412918,8.30,2.50,WIFI
3C:A6:2F:82:0A:93,FRITZ!Box 7590 MO,[WPA2_PSK],2026-03-31 10:07:49,1,-86,53.4916458,7.4412918,8.30,2.50,WIFI
EC:FD:F8:84:D8:0E,AP_4178661269,[WPA2_PSK],2026-03-31 10:07:53,13,-78,53.4910851,7.4417248,8.20,2.50,WIFI
38:10:D5:CC:1B:30,FRITZ!Box Fon WLAN 7360,[WPA_WPA2_PSK],2026-03-31 10:07:53,11,-81,53.4910851,7.4417248,8.20,2.50,WIFI
08:B6:57:54:85:F0,FRITZ!Box 6850 TE,[WPA2_PSK],2026-03-31 10:07:53,9,-82,53.4910851,7.4417248,8.20,2.50,WIFI
0A:B6:57:54:85:F0,FRITZ!Box Gast,[WPA2_PSK],2026-03-31 10:07:53,9,-82,53.4910851,7.4417248,8.20,2.50,WIFI
EC:FD:F8:84:98:24,AP_4183699127,[WPA2_PSK],2026-03-31 10:07:57,1,-75,53.4904785,7.4421978,8.30,2.50,WIFI
56:ad:b0:c7:48:00,,[BLE],2026-03-31 10:07:57,0,-82,53.4904785,7.4421978,8.30,2.50,BLE
4d:90:58:c1:5c:44,,[BLE],2026-03-31 10:08:05,0,-45,53.4892502,7.4431500,8.80,2.50,BLE
9E:A3:A9:F5:E5:D1,,[WPA2_PSK],2026-03-31 10:08:09,13,-87,53.4886742,7.4437408,9.40,2.50,WIFI
2C:4C:C6:A8:9E:6F,MB Hotspot 28616,[WPA2_PSK],2026-03-31 10:08:13,6,-87,53.4880981,7.4443560,8.70,2.50,WIFI
6a:1a:45:dd:80:53,,[BLE],2026-03-31 10:08:13,0,-80,53.4880981,7.4443560,8.70,2.50,BLE
04:B4:FE:0C:5D:63,FRITZ!Box 7530 GG,[WPA2_PSK],2026-03-31 10:08:17,11,-92,53.4874992,7.4448838,9.40,2.50,WIFI
80:3F:5D:33:28:2E,MM-WLAN-3,[WPA2_PSK],2026-03-31 10:08:21,11,-86,53.4868736,7.4452901,9.70,2.50,WIFI
44:2A:8F:35:C5:C4,AP_3850184398,[WPA2_PSK],2026-03-31 10:08:21,11,-98,53.4868736,7.4452901,9.70,2.50,WIFI
3C:6A:D2:BA:FD:D7,Slytherin gemeinschaftsraum_EXT,[WPA2_PSK],2026-03-31 10:08:25,1,-91,53.4862404,7.4456830,9.80,2.50,WIFI
